,GIS_ID_post,ADDRESS,num_condo_units,PID_prior,CM_ID_prior,ST_NUM_prior,ST_NAME_prior,UNIT_NUM_prior,ZIPCODE_prior,PTYPE_prior,LU_prior,LAND_VALUE_prior,BLDG_VALUE_prior,TOTAL_VALUE_prior,GROSS_TAX_prior,LAND_SF_prior,YR_BUILT_prior,YR_REMODEL_prior,GROSS_AREA_prior,LIVING_AREA_prior,NUM_FLOORS_prior,STRUCTURE_CLASS_prior,TT_RMS_prior,BED_RMS_prior,FULL_BTH_prior,HALF_BTH_prior,HEAT_TYP_prior,S_NUM_BLDG_prior,RES_UNITS_prior,COM_UNITS_prior,RC_UNITS_prior,PID_post,CM_ID_post,ST_NUM_post,ST_NAME_post,UNIT_NUM_post,ZIPCODE_post,PTYPE_post,LU_post,LAND_VALUE_post,BLDG_VALUE_post,TOTAL_VALUE_post,GROSS_TAX_post,LAND_SF_post,YR_BUILT_post,YR_REMODEL_post,GROSS_AREA_post,LIVING_AREA_post,NUM_FLOORS_post,STRUCTURE_CLASS_post,TT_RMS_post,BED_RMS_post,FULL_BTH_post,HALF_BTH_post,HEAT_TYP_post,R_EXT_CND_post,R_OVRALL_CND_post,R_INT_CND_post,S_NUM_BLDG_post,RES_UNITS_post,COM_UNITS_post,RC_UNITS_post,S_EXT_CND_post,prior_year,post_year,GIS_ID_prior,R_EXT_CND_prior,R_OVRALL_CND_prior,R_INT_CND_prior,S_EXT_CND_prior,CITY_post,BLDG_SEQ_post,NUM_BLDGS_post,LUC_post,LU_DESC_post,BLDG_TYPE_post,RES_FLOOR_post,CD_FLOOR_post,INT_COND_post,EXT_COND_post,OVERALL_COND_post,HLF_BTH_post,BDRM_COND_post,HEAT_TYPE_post,NUM_PARKING_post,CITY_prior,BLDG_SEQ_prior,NUM_BLDGS_prior,LUC_prior,LU_DESC_prior,BLDG_TYPE_prior,RES_FLOOR_prior,CD_FLOOR_prior,INT_COND_prior,EXT_COND_prior,OVERALL_COND_prior,HLF_BTH_prior,BDRM_COND_prior,HEAT_TYPE_prior,NUM_PARKING_prior,OBJECTID,LOC_ID,POLY_TYPE,MAP_NO,SOURCE,PLAN_ID,LAST_EDIT,BND_CHK,NO_MATCH,TOWN_ID,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength
0,100018000.0,239 LEXINGTON ST,5,100018000,,239,LEXINGTON ST,,2128,,R3,"$244,200.00 ","$1,076,300.00 ","$1,320,500.00 ","$14,089.74 ",2500.0,1900.0,2018.0,5467.0,4132.0,,R -,17.0,8.0,3.0,,,,,,,100018000,0100018000,239,LEXINGTON ST,,2128,,CM,0,0,0,$0.00,2500.0,1900.0,2018.0,,,,R - ,17.0,8.0,0.0,,,,,,,4.0,0.0,0.0,,2021,2022,100018000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,SD - Semi-Det,3.0,,E - Excellent,G - Good,G - Good,0.0,,F - Forced Hot Air,0.0,EAST BOSTON,1.0,1.0,105.0,THREE-FAM DWELLING,SD - Semi-Det,3.0,,E - Excellent,G - Good,G - Good,,,F - Forced Hot Air,,,,,,,,,,,,,,,
1,100041000,224 PRINCETON ST,5,100041000,,224,PRINCETON ST,,2128.0,,R4,251300,1274500,1525800,16387.0872,2500.0,1900.0,2020.0,6232.0,6232.0,,D - Wood/Frame,,,,,,,,,,100041000,100041000.0,224,PRINCETON ST,,2128.0,,CM,0,0,0, $-   ,"2,500",2021.0,,,,,D - Wood/Frame,,,,,,,,,,4.0,0.0,0.0,,2023,2024,100041000,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,FS - Free Standing,4.0,,,E - Excellent,G - Good,,,,,EAST BOSTON,1.0,1.0,111.0,APT 4-6 UNITS,111 - APT 4-6 UNITS,3.0,,,,G - Good,,,,,62881.0,F_782715_2963619,FEE,1,ASSESS,,20191107.0,,N,35.0,2337.97216797,242.31682212,2337.9719549391,242.316822117021
2,100046000,212 PRINCETON ST,3,100046000,,212,PRINCETON ST,,2128.0,,R2,249900,446900,696800,7483.6272,2600.0,1900.0,,3564.0,2586.0,,,11.0,4.0,3.0,,,,,,,100046000,100046000.0,212,PRINCETON ST,,2128.0,,CM,0,0,0, $-   ,"2,600",1900.0,,,,,,,,,,,,,,,2.0,0.0,0.0,,2023,2024,100046000,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,FS - Free Standing,3.0,,,G - Good,G - Good,,,F - Forced Hot Air,,EAST BOSTON,1.0,1.0,104.0,TWO-FAM DWELLING,CV - Conventional,3.0,,A - Average,A - Average,A - Average,1.0,,W - Ht Water/Steam,0.0,65318.0,F_782604_2963562,FEE,1,ASSESS,,20191107.0,,N,35.0,2570.40820313,247.41205622,2570.40810335407,247.412056219278
3,100175000,311 Lexington ST,4,100175000,,311,Lexington ST,,2128.0,,R3,222400,598700,821100,8818.61,1825.0,1900.0,,4026.0,2736.0,,,14.0,6.0,3.0,,,,,,,100175000,100175000.0,311,Lexington ST,,2128.0,,CM,0,0,0, $-   ,"1,825",1900.0,,,,,,,,,,,,,,,3.0,0.0,0.0,,2023,2024,100175000,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,DK - Decker,3.0,,,G - Good,G - Good,,,,,EAST BOSTON,1.0,1.0,105.0,THREE-FAM DWELLING,DK - Decker,3.0,,A - Average,A - Average,A - Average,0.0,,S - Space Heat,0.0,55549.0,F_783621_2964212,FEE,1,ASSESS,,20191107.0,,N,35.0,1908.89550781,199.41978843,1908.89553812316,199.419788422509
4,100177000,5 SHELBY ST,4,100177000,,5,SHELBY ST,,2128.0,105.0,R3,119935,476425,596360,624985.0,2087.0,1900.0,2016.0,4520.0,3390.0,3.0,R,16.0,7.0,3.0,0.0,F,,,,,100177000,100177000.0,5,SHELBY ST,,2128.0,995.0,CM,0,0,0,0.0,2087.0,1900.0,2016.0,0.0,0.0,3.0,R,,,,,,,,,,3.0,0.0,0.0,G,2018,2019,100177000.0,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,100195010,278 PRINCETON ST,2,100195010, ,278,PRINCETON ST,,2128,,R2,"179,300","421,200","600,500","$6,533.44",1407.0,1900.0,2014.0,2233.0,1623.0,,R - ,7.0,4.0,2.0,,,,0.0,0.0,0.0,100195010,,278,PRINCETON ST,,2128.0,,R2,191900,450800,642700,6902.6,1407.0,1900.0,2014.0,2386.0,1623.0,,,7.0,4.0,2.0,,,,,,,,,,,2022,2023,100195010.0,,,,,EAST BOSTON,1.0,1.0,104.0,TWO-FAM DWELLING,CV - Conventional,1.5,,A - Average,G - Good,A - Average,0.0,,W - Ht Water/Steam,0.0,EAST BOSTON,1.0,1.0,104.0,TWO-FAM DWELLING,CV - Conventional,1.5,,A - Average,G - Good,A - Average,0.0,,W - Ht Water/Steam,0.0,,,,,,,,,,,,,,
6,100250000,266 LEXINGTON ST,4,100250000,,266,LEXINGTON ST,,2128.0,105.0,R3,165800,486600,652400,683715.0,2500.0,1900.0,2016.0,3456.0,2316.0,3.0,R,12.0,6.0,3.0,0.0,W,,,,,100250000,100250000.0,266,LEXINGTON ST,,2128.0,995.0,CM,0,0,0,0.0,2500.0,1900.0,2016.0,0.0,0.0,3.0,R,,,,,,,,,,3.0,0.0,0.0,G,2018,2019,100250000.0,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55622.0,F_783090_2964094,FEE,1,ASSESS,,20191107.0,,N,35.0,2530.6171875,251.21396802,2530.61719502458,251.213968005495
7,100257000,325 E EAGLE ST,4,100257000,,325,E EAGLE ST,,2128.0,105.0,R3,148700,523600,672300,704570.0,2231.0,1890.0,2016.0,3872.0,2904.0,3.0,R,14.0,6.0,5.0,1.0,F,,,,,100257000,100257000.0,325,E EAGLE ST,,2128.0,995.0,CM,0,0,0,0.0,2231.0,1890.0,2017.0,0.0,0.0,3.0,R,14.0,6.0,5.0,1.0,F,G,G,G,,3.0,0.0,0.0,G,2018,2019,100257000.0,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,100281000.0,6 SHELBY ST,4,100281000,,6,SHELBY ST,,2128,,R3,"$177,600.00 ","$290,000.00 ","$467,600.00 ","$4,989.29 ",1250.0,1900.0,,3379.0,2244.0,,R -,11.0,5.0,3.0,,,,,,,100281000,0100281000,6,SHELBY ST,,2128,,CM,0,0,0,$0.00,1250.0,1900.0,2019.0,,,,R - ,0.0,0.0,0.0,,,,,,,3.0,0.0,0.0,,2021,2022,100281000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,DK - Decker,3.0,,,A - Average,F - Fair,0.0,,,0.0,EAST BOSTON,1.0,1.0,105.0,THREE-FAM DWELLING,DK - Decker,3.0,,F - Fair,A - Average,F - Fair,1.0,,W - Ht Water/Steam,,63631.0,F_783719_2964264,FEE,1,ASSESS,,20191107.0,,N,35.0,1310.92773438,153.44075711,1310.92765793111,153.440757130616
9,100340000.0,398 BREMEN ST,5,100340000,,398,BREMEN ST,,2128,,R1,"$164,100.00 ","$198,900.00 ","$363,000.00 ","$3,873.21 ",2100.0,1925.0,,1850.0,875.0,,R -,5.0,2.0,1.0,,,,,,,100340000,0100340000,398,BREMEN ST,,2128,,CM,0,0,0,$0.00,2100.0,2020.0,,,,,R - ,0.0,0.0,0.0,,,,,,,4.0,0.0,0.0,,2021,2022,100340000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,DK - Decker,,,,E - Excellent,A - Average,0.0,,,0.0,EAST BOSTON,1.0,1.0,101.0,SINGLE FAM DWELLING,CP - Cape,1.5,,A - Average,A - Average,A - Average,,,F - Forced Hot Air,1.0,56750.0,F_783715_2963331,FEE,1,ASSESS,,20191107.0,,N,35.0,2048.62792969,202.9728094,2048.62773244815,202.972809412745
